InspectionID,CarRegNumber,OwnerName,InspectionDate,
I001,ABC1234,John Doe,2025-08-01,
I002,XYZ5678,Jane Smith,2025-08-03,
I003,DEF1112,Junho Kim,2025-08-05,
I004,HIJ5060,Jordan Brown,2025-08-07,
I005,MYW5791,Justin Jackson,2025-08-09,
I006,ZBA7777,Zephyr Diaz,2025-08-11,
I007,QWE6006,Gale Norton,2025-08-13,
I008,MNO7788,Fiora Campbell,2025-08-15,
I009,JQR1111,Astarion Williams,2025-08-17,
I010,STR9633,Wyll Phillips,2025-08-19,
I011,WIS4002,Halsin Walker,2025-08-21,
I012,MSL5533,Karlach Harris,2025-08-23,
I013,LGD9889,Furuya Wataru,2025-08-25,
I014,FVA3022,Taeho Park,2025-08-27,
I015,SDH9966,Minju Hwang,2025-08-29,
I016,THZ5050,Shen Howard,2025-08-31,
I017,ZAQ4446,Mateo Ramos,2025-09-02,
I018,XHU1267,Luciana Esposito,2025-09-04,
I019,SOL2233,Kunibert Schneider,2025-09-06,
I020,GEN8047,Leon Lee,2025-09-08,
