InspectionID,CarRegNumber,OwnerName,InspectionDate,
I001,ABC1234,Jane Doe,01/08/2025
I002,XYZ5678,John Smith,03/08/2025
I003,DEF1112,Junho Kim,05/08/2025
I004,HIJ5060,Jordan Brown,07/08/2025
I005,MYW5791,Justin Jackson,09/08/2025
I006,ZBA7777,Zephyr Diaz,11/08/2025
I007,QWE6006,Gale Norton,13/08/2025
I008,MNO7788,Fiora Campbell,15/08/2025
I009,JQR1111,Astarion Williams,17/08/2025
I010,STR9633,Wyll Phillips,19/08/2025
I011,WIS4002,Halsin Walker,21/08/2025
I012,MSL5533,Karlach Harris,23/08/2025
I013,LGD9889,Furuya Wataru,25/08/2025
I014,FVA3022,Taeho Park,27/08/2025
I015,SDH9966,Minju Hwang,29/08/2025
I016,THZ5050,Shen Howard,31/08/2025
I017,ZAQ4446,Mateo Ramos,02/09/2025
I018,XHU1267,Luciana Esposito,04/09/2025
I019,SOL2233,Kunibert Schneider,06/09/2025
I020,GEN8047,Leon Lee,08/09/2025


